                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.78991,                0.49028,                0.99023,                 0.8783,                0.86749,                0.90961,                0.66982,                0.85732,                0.54137,                 1.0308,              0.0089011,              0.0089011,              0.0089011
                    113,                0.79609,                0.48336,                0.98927,                 0.8448,                 0.8519,                0.90685,                0.66621,                0.85783,                 0.5788,                 1.0247,              0.0088912,              0.0088912,              0.0088912
                    114,                0.79744,                0.49427,                 1.0017,                0.86142,                0.82244,                0.89522,                0.66821,                0.87073,                0.56382,                 1.0542,              0.0088813,              0.0088813,              0.0088813
                    115,                  0.813,                0.49128,                 1.0005,                0.79135,                0.83284,                0.81847,                0.57122,                0.94806,                0.67351,                  1.078,              0.0088714,              0.0088714,              0.0088714
                    116,                0.78348,                 0.4644,                0.99454,                0.88104,                 0.8569,                0.91685,                0.68902,                0.84205,                0.55717,                  1.026,              0.0088615,              0.0088615,              0.0088615
                    117,                0.79284,                0.46796,                0.98694,                0.87333,                0.85167,                0.92412,                0.68049,                0.83175,                0.55848,                 1.0288,              0.0088516,              0.0088516,              0.0088516
                    118,                0.78242,                0.47137,                0.98017,                0.88352,                0.84469,                   0.95,                0.71155,                0.85899,                0.54865,                 1.0324,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.8013,                 0.4849,                0.99431,                0.88665,                0.85925,                0.88383,                0.66198,                0.82854,                0.54073,                 1.0232,              0.0088318,              0.0088318,              0.0088318
                    120,                0.78627,                0.49092,                0.99149,                0.84142,                0.79538,                0.84887,                0.63253,                0.85334,                0.56378,                 1.0329,              0.0088219,              0.0088219,              0.0088219
                    121,                 0.7692,                0.46607,                0.96897,                0.88613,                0.80338,                0.90042,                0.67313,                0.82794,                0.55759,                 1.0122,               0.008812,               0.008812,               0.008812
                    122,                0.78643,                0.47336,                 0.9829,                0.87253,                0.86959,                0.92987,                0.70385,                0.80117,                0.52807,                0.99317,              0.0088021,              0.0088021,              0.0088021
                    123,                0.79655,                0.47525,                 0.9872,                0.92973,                0.80302,                0.91927,                0.66174,                0.88215,                0.55599,                 1.0543,              0.0087922,              0.0087922,              0.0087922
                    124,                0.76695,                0.47795,                0.98909,                0.88814,                0.87667,                0.92666,                0.68674,                0.84293,                0.53802,                  1.013,              0.0087823,              0.0087823,              0.0087823
                    125,                0.75803,                0.46344,                0.97655,                0.90531,                0.85131,                0.91533,                0.68761,                0.81391,                 0.5498,                 1.0069,              0.0087724,              0.0087724,              0.0087724
                    126,                0.75747,                0.44732,                0.97505,                0.85294,                 0.8658,                0.88126,                0.65849,                0.84871,                 0.5682,                 1.0383,              0.0087625,              0.0087625,              0.0087625
                    127,                0.77434,                0.46662,                0.97659,                0.90055,                0.86183,                0.93601,                0.71558,                0.83162,                0.51741,                 1.0352,              0.0087526,              0.0087526,              0.0087526
                    128,                0.77671,                0.47292,                0.98592,                0.86619,                0.87871,                0.91943,                0.67735,                0.87058,                0.55401,                 1.0371,              0.0087427,              0.0087427,              0.0087427
                    129,                0.76646,                0.45641,                0.98425,                0.89344,                0.92914,                0.94397,                0.69873,                0.84087,                0.53174,                 1.0197,              0.0087328,              0.0087328,              0.0087328
                    130,                0.76958,                0.46923,                0.98592,                 0.8956,                0.89986,                0.92687,                0.68367,                0.85052,                0.54133,                 1.0328,              0.0087229,              0.0087229,              0.0087229
                    131,                0.74482,                0.45188,                0.97345,                 0.8542,                0.88624,                 0.9415,                0.70425,                0.84628,                 0.5335,                 1.0201,               0.008713,               0.008713,               0.008713
                    132,                0.75749,                0.46005,                 0.9805,                0.88613,                 0.8896,                0.93591,                0.69569,                  0.834,                0.52296,                 1.0148,              0.0087031,              0.0087031,              0.0087031
